MARKET,DOMAIN,CDN,C. UNICOM(%),C. TELECOM(%),C.MOBILE(%),AVAILABILITY(%),STATUS,DAILY REMARKS,Update status,Remarks,Status,Availability Threshold,,Date & Time filtering,
,ms8yes.com,CF,,OK,,,,,TECH-102694 Replaced | cmbm88.com 8.4.2024,,,,,,
M88 - VIET (RETAIL),msstat.net,CF,,OK,,,,,TECH-132688 | Low availability: riyue88.net | 02/11/26,,,,,,
M88 - VIET (SEO),m88topvietnam.com,CF,,OK,,,,,TECH-125292 Replaced | Blocked Domain: www.m88mainvn.com 8/13/2025,,,,,,
M88 - VIET (AFF),mspfkn.com,CF,,OK,,,,, Replacement - Blocked Domain mstmss.com| 1/18/2025,,,,,,
,msqwyb.com,CF,,OK,,,,,TECH-131303 | Low availability: mstqap.com | 12/29/25,,,,,,
,msfojl.com,CF,,OK,,,,,TECH-119964 | Replaced | Domain Issue - msloot.net 5/6/2025,,,,,,
,ms0543.com,CF,,OK,,,,,TECH-129880 Replaced | Domain blocked: mspeme.com | 11/15/2025,,,,,,
,mszlby.com,CF,,OK,,,,,TECH-122364 | replaced mstddf.com 6/18/2025,,,,,,
M88 - INDO,ms0902.com,CF,,OK,,,,,TECH-113780 | replaced blocked Blocked domain: msrpgg.com 1.15.2025,,,,,,
,ms8gsd.com,INCAP,,OK,,,,,TECH-97352 | replaced msctno.com,,,,,,
,msctno.com,CF,,OK,,,,,TECH-77423 | replaced on 08.18.22 blocked by govt domain: msnoye.com,,,,,,
,ms8tank.com,CF,,OK,,,,,TECH-107367 Replaced  Govt. blocking - nunrm88.com 10-9-2024,,,,,,
M88 - INDO (RETAIL),msgild.net,CF,,OK,,,,,TECH-119796 Replaced | Blocked Domain - 782554.com 5-4-2025,,,,,,
M88-INDO (SEO),m88indonline.com,CF,,OK,,,,,TECH-132959 | Blocked: m88topidbet.com | 2/24/26,,,,,,
M88 - INDO (AFF),mshwye.com,CF,,OK,,,,,TECH-121453 | replaced Domain blocked: msmjmg.com 6/3/2025,,,,,,
,ms0198.com,CF,,OK,,,,,TECH-128080 Replaced - Domain blocked msgkao.com 10/5/2025,,,,,,
,m88bhz.com,CF,,OK,,,,,,,,,,,
,ms8rvl.com,CF,,OK,,,,,DM-3146 | replaced 11.21.23 | BLOCKED m88idreg.com,,,,,,
,slotm88.com,CF,,OK,,,,,TECH-110977 | replaced blocked domain: slotm88.com 12/1/2024,,,,,,
,m88mania.com,CF,,OK,,,,,,,,,,,
,m88vlq.com,CF,,OK,,,,,TECH-129062 | Blocked: m88win.co | 2/24/26,,,,,,
M88-INDO (AFF QBE),m88yse.com,CF,,OK,,,,,TECH-131583 Replaced | Blocked ms8gjb.com | 1/8/2026,,,,,,
,ms3942.com,CF,,OK,,,,,TECH-128079 |Domain blocked: msjlye.com | 10/5/2025,,,,,,
,msptrl.com,CF,,OK,,,,,,,,,,,
M88-INDO (ACQ),mswinr.com,CF,,OK,,,,,TECH-115352 | replaced Blocked Domain: m88neon.com 2/12/2025,,,,,,
,m88my3.com,CF,,OK,,,,,DM-5690 Replaced | Domain Blocked - terusjuara.com 8-28-2024,,,,,,
,afcm88id.com,CF,,OK,,,,,TECH-22238 |added entry in NB 04.30.21 (backup for eurocup),,,,,,
,m88goal.com,CF,,OK,,,,,TECH-22238 |added entry in NB 04.30.21 (backup for eurocup),,,,,,
M88 - MALAY,818520128.com,CF,,OK,,,,,"TECH-45141 | Monitored since 06.15.22			",,,,,,
,m88myr.com,CF,,OK,,,,,,,,,,,
,ms7745.com,CF,,OK,,,,,TECH-133227 | 03/09/2026 | Blocked domain: m998877.info ,,,,,,
M88-MALAY (SEO),m88my2.com,CF,,OK,,,,,,,,,,,
M88 - THAI,msxrjo.com,CF,,OK,,,,,TECH-109299 | replaced blocked domain: 88ab88.com,,,,,,
,lucky77889.com,CF,,OK,,,,,TECH-22238 |added entry in NB 04.30.21 (backup for eurocup),,,,,,
,m88wss.com,CF,,OK,,,,,TECH-22238 |added entry in NB 04.30.21 (backup for eurocup),,,,,,
,m88zimo.net,CF,,OK,,,,,TECH-65518  | replaced on 3.2.23,,,,,,
,m88epl.com,CF,,OK,,,,,TECH-103714 | Blocked Domain: ms8sps.com,,,,,,
,m88suv.com,INCAP,,OK,,,,,TECH-103714 | Blocked Domain: ms8sps.com,,,,,,
,m7889.info,CF,,OK,,,,,TECH-103714 | Blocked Domain: ms8sps.com,,,,,,
M88 - THAI (SEO),ms8flow.com,CF,,OK,,,,,"TECH-132692 | TH SEO	mstivd.com | 02/11/26 ",,,,,,
M88 - THAI (AFFILLIATE),msccyu.com,CF,,OK,,,,,TECH-132688 | TH Affiliate ms8size.com | 02/11/26 ,,,,,,
,ms1904.com,CF,,OK,,,,,TECH-131122 Replaced | Domain blocked: ms2824.com | 12/19/2025,,,,,,
M88 - THAI (AFFILLIATE),msluap.com,CF,,OK,,,,,TECH-119832 | Replaced Government Blocking: msyeqk.com,,,,,,
M88 - THAI (AFFILLIATE),mshgpq.com,CF,,OK,,,,,"TECH-107316 | New entry in NB 10.08.2024	",,,,,,
